M,experiment,lowrpm-stop-battery-D-and-quantum-vs-tilt-Q
M,powder_id,salt
M,gear_ratio_stepper_per_auger,44/20=2.2
M,steps_per_auger_rev,3520
M,full_steps_rev,200
M,microsteps,8
M,stepper_direction,1
M,accel_rev_per_s2,4.0
M,cap_g,32.0
M,hard_g,38.0
M,tare_mode,no-hardware-tare-absolute-differences
M,auger_tare_g,56.716
M,tilt_D,55.0
M,rpms_D,5|10|15|25
M,reps_D,5
M,cruise_revs_D,3
M,halt_phase_deg,0.0
M,rpm_Q,10.0
M,incr_deg_Q,20.0
M,tilts_Q,15|35|55
M,n_scans_Q,2
M,flow_check,1rev@30rpm@55deg
M,tilt_D2,25.0
M,reps_D2,2
M,planned_D_trials,20
M,planned_Q_scans,6
M,planned_D2_trials,8
M,incr_per_scan_Q,18
E,1040,baseline (no tare) + 15 s static noise stream
D,38452,2,move,0.3077,U,5,4.0000,0.00
D,38644,2,move,0.3133,U,5,4.0000,0.00
D,38836,2,move,0.3164,U,5,4.0000,0.00
D,39028,2,move,0.3187,U,5,4.0000,0.00
D,39220,2,move,0.3215,U,5,4.0000,0.00
D,39412,2,move,0.3225,U,5,4.0000,0.00
D,39604,2,move,0.3240,U,5,4.0000,0.00
D,39796,2,move,0.3277,U,5,4.0000,0.00
D,39988,2,move,0.3333,U,5,4.0000,0.00
D,40180,2,move,0.3367,U,5,4.0000,0.00
D,40372,2,move,0.3347,U,5,4.0000,0.00
D,40564,2,move,0.3335,U,5,4.0000,0.00
D,40756,2,move,0.3338,U,5,4.0000,0.00
D,40948,2,move,0.3343,U,5,4.0000,0.00
D,41127,2,move,0.3342,U,5,4.0000,0.00
D,41319,2,move,0.3270,U,5,4.0000,0.00
D,41511,2,move,0.3257,U,5,4.0000,0.00
D,41703,2,move,0.3288,U,5,4.0000,0.00
D,41895,2,move,0.3294,U,5,4.0000,0.00
D,42087,2,move,0.3302,U,5,4.0000,0.00
D,42279,2,move,0.3306,U,5,4.0000,0.00
D,42471,2,move,0.3306,U,5,4.0000,0.00
D,42663,2,move,0.3314,U,5,4.0000,0.00
D,42855,2,move,0.3400,U,5,4.0000,0.00
D,43047,2,move,0.3442,U,5,4.0000,0.00
D,43239,2,move,0.3460,U,5,4.0000,0.00
D,43431,2,move,0.3452,U,5,4.0000,0.00
D,43623,2,move,0.3428,U,5,4.0000,0.00
D,43815,2,move,0.3337,U,5,4.0000,0.00
D,44007,2,move,0.3252,U,5,4.0000,0.00
D,44199,2,move,0.3225,U,5,4.0000,0.00
D,44391,2,move,0.3235,U,5,4.0000,0.00
D,44583,2,move,0.3241,U,5,4.0000,0.00
D,44761,2,move,0.3287,U,5,4.0000,0.00
D,44953,2,move,0.3327,U,5,4.0000,0.00
D,45145,2,move,0.3348,U,5,4.0000,0.00
D,45337,2,move,0.3355,U,5,4.0000,0.00
D,45529,2,move,0.3341,U,5,4.0000,0.00
D,45721,2,move,0.3350,U,5,4.0000,0.00
D,45913,2,move,0.3360,U,5,4.0000,0.00
D,46105,2,move,0.3393,U,5,4.0000,0.00
D,46297,2,move,0.3414,U,5,4.0000,0.00
D,46489,2,move,0.3479,U,5,4.0000,0.00
D,46681,2,move,0.3621,U,5,4.0000,0.00
D,46873,2,move,0.3823,U,5,4.0000,0.00
D,47065,2,move,0.4006,U,5,4.0000,0.00
D,47257,2,move,0.4130,U,5,4.0000,0.00
D,47449,2,move,0.4216,U,5,4.0000,0.00
D,47641,2,move,0.4289,U,5,4.0000,0.00
D,47833,2,move,0.4372,U,5,4.0000,0.00
D,48025,2,move,0.4482,U,5,4.0000,0.00
D,48203,2,move,0.4613,U,5,4.0000,0.00
D,48406,2,move,0.4820,U,5,4.0000,0.00
D,48598,2,move,0.5087,U,5,4.0000,0.00
D,48790,2,move,0.5275,U,5,4.0000,0.00
D,48970,2,move,0.5341,U,5,4.0000,0.00
D,49162,2,move,0.5414,U,5,4.0000,0.00
D,49354,2,move,0.5540,U,5,4.0000,0.00
D,49546,2,move,0.5665,U,5,4.0000,0.00
D,49738,2,move,0.5781,U,5,4.0000,0.00
D,49930,2,move,0.5918,U,5,4.0000,0.00
D,50122,2,move,0.6087,U,5,4.0000,0.00
D,50314,2,move,0.6205,U,5,4.0000,0.00
D,50506,2,move,0.6180,U,5,4.0000,0.00
D,50698,2,move,0.6098,U,5,4.0000,0.00
D,50890,2,move,0.6120,U,5,4.0000,0.00
D,51082,2,move,0.6187,U,5,4.0000,0.00
D,51274,2,move,0.6268,U,5,4.0000,0.00
D,51466,2,move,0.6331,U,5,4.0000,0.00
D,51658,2,move,0.6350,U,5,4.0000,0.00
D,51837,2,move,0.6379,U,5,4.0000,0.00
D,52029,2,move,0.6403,U,5,4.0000,0.00
D,52221,2,move,0.6363,U,5,4.0000,0.00
D,52413,2,move,0.6339,U,5,4.0000,0.00
D,52605,2,move,0.6364,U,5,4.0000,0.00
D,52797,2,move,0.6360,U,5,4.0000,0.00
D,52989,2,move,0.6354,U,5,4.0000,0.00
D,53181,2,move,0.6354,U,5,4.0000,0.00
D,53373,2,move,0.6353,U,5,4.0000,0.00
D,53565,2,move,0.6410,U,5,4.0000,0.00
D,53757,2,move,0.6475,U,5,4.0000,0.00
D,53949,2,move,0.6497,U,5,4.0000,0.00
D,54141,2,move,0.6512,U,5,4.0000,0.00
D,54333,2,move,0.6523,U,5,4.0000,0.00
D,54525,2,move,0.6549,U,5,4.0000,0.00
D,54717,2,move,0.6594,U,5,4.0000,0.00
D,54909,2,move,0.6636,U,5,4.0000,0.00
D,55101,2,move,0.6630,U,5,4.0000,0.00
D,55293,2,move,0.6500,U,5,4.0000,0.00
D,55471,2,move,0.6350,U,5,4.0000,0.00
D,55663,2,move,0.6379,U,5,4.0000,0.00
D,55855,2,move,0.6455,U,5,4.0000,0.00
D,56047,2,move,0.6402,U,5,4.0000,0.00
D,56239,2,move,0.6283,U,5,4.0000,0.00
D,56431,2,move,0.6237,U,5,4.0000,0.00
D,56623,2,move,0.6190,U,5,4.0000,0.00
D,56815,2,move,0.6214,U,5,4.0000,0.00
D,57007,2,move,0.6359,U,5,4.0000,0.00
D,57199,2,move,0.6459,U,5,4.0000,0.00
D,57391,2,move,0.6512,U,5,4.0000,0.00
D,57583,2,move,0.6572,U,5,4.0000,0.00
D,57775,2,move,0.6653,U,5,4.0000,0.00
D,57967,2,move,0.6747,U,5,4.0000,0.00
D,58159,2,move,0.6858,U,5,4.0000,0.00
D,58351,2,move,0.6977,U,5,4.0000,0.00
D,58543,2,move,0.7150,U,5,4.0000,0.00
D,58735,2,move,0.7391,U,5,4.0000,0.00
D,58914,2,move,0.7624,U,5,4.0000,0.00
D,59106,2,move,0.7788,U,5,4.0000,0.00
D,59298,2,move,0.7887,U,5,4.0000,0.00
D,59490,2,move,0.7979,U,5,4.0000,0.00
D,59682,2,move,0.8097,U,5,4.0000,0.00
D,59874,2,move,0.8203,U,5,4.0000,0.00
D,60066,2,move,0.8336,U,5,4.0000,0.00
D,60258,2,move,0.8443,U,5,4.0000,0.00
D,60450,2,move,0.8487,U,5,4.0000,0.00
D,60642,2,move,0.8662,U,5,4.0000,0.00
D,60834,2,move,0.8943,U,5,4.0000,0.00
D,61026,2,move,0.9143,U,5,4.0000,0.00
D,61218,2,move,0.9283,U,5,4.0000,0.00
D,61410,2,move,0.9371,U,5,4.0000,0.00
D,61602,2,move,0.9433,U,5,4.0000,0.00
D,61794,2,move,0.9516,U,5,4.0000,0.00
D,61986,2,move,0.9648,U,5,4.0000,0.00
D,62178,2,move,0.9763,U,5,4.0000,0.00
D,62370,2,move,0.9800,U,5,4.0000,0.00
D,62548,2,move,0.9737,U,5,4.0000,0.00
D,62740,2,move,0.9693,U,5,4.0000,0.00
D,62932,2,move,0.9784,U,5,4.0000,0.00
D,63124,2,move,0.9868,U,5,4.0000,0.00
D,63316,2,move,0.9904,U,5,4.0000,0.00
D,63508,2,move,0.9934,U,5,4.0000,0.00
D,63700,2,move,0.9947,U,5,4.0000,0.00
D,63892,2,move,0.9970,U,5,4.0000,0.00
D,64084,2,move,0.9977,U,5,4.0000,0.00
D,64276,2,move,0.9942,U,5,4.0000,0.00
D,64468,2,move,0.9906,U,5,4.0000,0.00
D,64660,2,move,0.9924,U,5,4.0000,0.00
D,64852,2,move,0.9943,U,5,4.0000,0.00
D,65044,2,move,0.9975,U,5,4.0000,0.00
D,65248,2,move,0.9954,U,5,4.0000,0.00
D,65417,2,move,0.9938,U,5,4.0000,0.00
D,65609,2,move,0.9917,U,5,4.0000,0.00
D,65801,2,move,0.9919,U,5,4.0000,0.00
D,65993,2,move,0.9921,U,5,4.0000,0.00
D,66185,2,move,0.9921,U,5,4.0000,0.00
D,66377,2,move,0.9922,S,5,4.0000,0.00
D,66569,2,move,0.9966,U,5,4.0000,0.00
D,66762,2,settle,0.9994,U,0,4.0000,0.00
D,66954,2,settle,0.9972,U,0,4.0000,0.00
D,67146,2,settle,0.9948,U,0,4.0000,0.00
D,67338,2,settle,0.9922,U,0,4.0000,0.00
D,67530,2,settle,0.9874,U,0,4.0000,0.00
D,67722,2,settle,0.9838,U,0,4.0000,0.00
D,67914,2,settle,0.9830,U,0,4.0000,0.00
D,68106,2,settle,0.9830,U,0,4.0000,0.00
D,68297,2,settle,0.9830,U,0,4.0000,0.00
D,68489,2,settle,0.9829,S,0,4.0000,0.00
D,68681,2,settle,0.9829,S,0,4.0000,0.00
D,68860,2,settle,0.9828,S,0,4.0000,0.00
D,69052,2,settle,0.9828,S,0,4.0000,0.00
D,69244,2,settle,0.9828,S,0,4.0000,0.00
D,69436,2,settle,0.9828,S,0,4.0000,0.00
D,69628,2,settle,0.9827,S,0,4.0000,0.00
D,69820,2,settle,0.9827,S,0,4.0000,0.00
D,70012,2,settle,0.9827,S,0,4.0000,0.00
D,70204,2,settle,0.9826,S,0,4.0000,0.00
D,70396,2,settle,0.9826,S,0,4.0000,0.00
D,70588,2,settle,0.9826,S,0,4.0000,0.00
D,70780,2,settle,0.9826,S,0,4.0000,0.00
D,70971,2,settle,0.9826,S,0,4.0000,0.00
D,71163,2,settle,0.9825,S,0,4.0000,0.00
D,71355,2,settle,0.9825,S,0,4.0000,0.00
D,71547,2,settle,0.9825,S,0,4.0000,0.00
D,71739,2,settle,0.9825,S,0,4.0000,0.00
D,71931,2,settle,0.9825,S,0,4.0000,0.00
D,72123,2,settle,0.9825,S,0,4.0000,0.00
D,72315,2,settle,0.9825,S,0,4.0000,0.00
D,72495,2,settle,0.9825,S,0,4.0000,0.00
D,72687,2,settle,0.9825,S,0,4.0000,0.00
D,72879,2,settle,0.9825,S,0,4.0000,0.00
D,73071,2,settle,0.9824,S,0,4.0000,0.00
