M,experiment,afterflow-battery-C6-C8-B4
M,powder_id,salt
M,cap_g,46.0
M,hard_g,48.0
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,cont_s,6.0
M,prime_revs,3.0
M,taponly_n,15
M,settle_stream_s,8.0
M,auger_tare_g,56.716
M,total_loaded_g,127.98
M,planned_trials,55
E,1229,noise baseline: tare, 20 s static raw stream
P,1779,0,0.0,0,tare0,0.0000
D,20615,0,noise,-0.0002,S,0,0
D,20711,0,noise,-0.0002,S,0,0
D,20807,0,noise,-0.0002,S,0,0
D,20901,0,noise,-0.0002,S,0,0
D,20997,0,noise,-0.0002,S,0,0
D,21093,0,noise,-0.0002,S,0,0
D,21188,0,noise,-0.0002,S,0,0
D,21285,0,noise,-0.0002,S,0,0
D,21380,0,noise,-0.0002,S,0,0
D,21476,0,noise,-0.0003,S,0,0
D,21572,0,noise,-0.0003,S,0,0
D,21668,0,noise,-0.0003,S,0,0
D,21764,0,noise,-0.0003,S,0,0
P,21859,0,0.0,0,settled,-0.0003
P,22252,0,0.0,0,settled,-0.0003
P,22625,0,0.0,0,settled,-0.0003
P,23018,0,0.0,0,settled,-0.0002
P,23390,0,0.0,0,settled,-0.0002
E,23692,noise baseline done
E,23694,=== trial 1 : C6 tilt 40.0 rep 1 rpm 55 halt 0.30 mode rot (cum 0.00 g) ===
P,26842,1,40.0,1,tare0,0.0000
D,26934,1,preroll,0.0000,S,0,0
D,27023,1,preroll,0.0000,S,0,0
D,27119,1,preroll,0.0000,S,0,0
D,27213,1,preroll,0.0000,S,0,0
D,27309,1,preroll,0.0000,S,0,0
D,27405,1,preroll,0.0000,S,0,0
D,27500,1,preroll,0.0000,S,0,0
D,27596,1,preroll,0.0000,S,0,0
D,27704,1,preroll,0.0000,S,0,0
D,27884,1,preroll,0.0000,S,0,0
D,27980,1,preroll,0.0000,S,0,0
D,28073,1,preroll,0.0000,S,0,0
D,28169,1,preroll,0.0000,S,0,0
D,28265,1,preroll,0.0000,S,0,0
D,28361,1,preroll,0.0000,S,0,0
E,28425,dispense start: mode rot rpm 55
D,28457,1,dispense,0.0000,S,55,0
D,28553,1,dispense,0.0000,S,55,0
D,28648,1,dispense,0.0000,S,55,0
D,28744,1,dispense,0.0000,S,55,1
D,28840,1,dispense,0.0000,S,55,1
D,28936,1,dispense,0.0000,S,55,1
D,29030,1,dispense,0.0000,S,55,2
D,29126,1,dispense,0.0000,S,55,2
D,29221,1,dispense,0.0047,U,55,2
D,29316,1,dispense,0.0100,U,55,3
D,29413,1,dispense,0.0187,U,55,3
D,29508,1,dispense,0.0320,U,55,3
D,29605,1,dispense,0.0506,U,55,4
D,29699,1,dispense,0.0716,U,55,4
D,29796,1,dispense,0.0895,U,55,4
D,29889,1,dispense,0.1003,U,55,5
D,29985,1,dispense,0.1042,U,55,5
D,30081,1,dispense,0.1055,U,55,5
D,30177,1,dispense,0.1090,U,55,6
D,30272,1,dispense,0.1183,U,55,6
D,30368,1,dispense,0.1349,U,55,6
D,30464,1,dispense,0.1593,U,55,7
D,30560,1,dispense,0.1906,U,55,7
D,30656,1,dispense,0.2261,U,55,7
D,30750,1,dispense,0.2605,U,55,8
D,30846,1,dispense,0.2878,U,55,8
D,30941,1,dispense,0.3041,U,55,8
E,30945,TRIGGER 0.3041 g at t=2.43 s -- ALL STOP
D,31038,1,settle,0.3103,U,0,8
D,31133,1,settle,0.3113,U,0,8
D,31229,1,settle,0.3134,U,0,8
D,31325,1,settle,0.3211,U,0,8
D,31421,1,settle,0.3362,U,0,8
D,31516,1,settle,0.3587,U,0,8
D,31612,1,settle,0.3873,U,0,8
D,31706,1,settle,0.4191,U,0,8
D,31802,1,settle,0.4497,U,0,8
D,31898,1,settle,0.4733,U,0,8
D,31994,1,settle,0.4864,U,0,8
D,32090,1,settle,0.4900,U,0,8
D,32185,1,settle,0.4882,U,0,8
D,32281,1,settle,0.4852,U,0,8
D,32377,1,settle,0.4830,U,0,8
D,32473,1,settle,0.4819,U,0,8
D,32567,1,settle,0.4815,U,0,8
D,32663,1,settle,0.4813,U,0,8
D,32758,1,settle,0.4813,U,0,8
D,32854,1,settle,0.4814,U,0,8
D,32950,1,settle,0.4814,U,0,8
D,33046,1,settle,0.4815,U,0,8
D,33142,1,settle,0.4815,U,0,8
D,33238,1,settle,0.4815,U,0,8
D,33334,1,settle,0.4815,S,0,8
D,33428,1,settle,0.4815,S,0,8
D,33524,1,settle,0.4815,S,0,8
D,33619,1,settle,0.4814,S,0,8
D,33715,1,settle,0.4814,S,0,8
D,33811,1,settle,0.4814,S,0,8
D,33907,1,settle,0.4814,S,0,8
D,34003,1,settle,0.4813,U,0,8
D,34099,1,settle,0.4813,S,0,8
D,34194,1,settle,0.4813,S,0,8
D,34290,1,settle,0.4813,S,0,8
D,34384,1,settle,0.4813,S,0,8
D,34480,1,settle,0.4813,S,0,8
D,34576,1,settle,0.4813,S,0,8
D,34672,1,settle,0.4813,S,0,8
D,34768,1,settle,0.4813,S,0,8
D,34864,1,settle,0.4813,S,0,8
D,34960,1,settle,0.4813,S,0,8
D,35055,1,settle,0.4813,S,0,8
D,35151,1,settle,0.4813,S,0,8
D,35245,1,settle,0.4813,S,0,8
D,35341,1,settle,0.4813,S,0,8
D,35437,1,settle,0.4813,S,0,8
D,35533,1,settle,0.4813,S,0,8
D,35628,1,settle,0.4813,S,0,8
D,35724,1,settle,0.4813,S,0,8
D,35820,1,settle,0.4813,S,0,8
D,35916,1,settle,0.4813,S,0,8
D,36012,1,settle,0.4814,S,0,8
D,36108,1,settle,0.4814,S,0,8
D,36202,1,settle,0.4814,S,0,8
D,36298,1,settle,0.4814,S,0,8
D,36393,1,settle,0.4814,S,0,8
D,36489,1,settle,0.4814,S,0,8
D,36585,1,settle,0.4814,S,0,8
D,36681,1,settle,0.4814,S,0,8
D,36777,1,settle,0.4814,S,0,8
D,36873,1,settle,0.4814,S,0,8
D,36969,1,settle,0.4814,S,0,8
D,37062,1,settle,0.4814,S,0,8
D,37158,1,settle,0.4814,S,0,8
D,37254,1,settle,0.4814,S,0,8
D,37350,1,settle,0.4814,S,0,8
D,37446,1,settle,0.4814,S,0,8
D,37542,1,settle,0.4814,S,0,8
D,37638,1,settle,0.4814,S,0,8
D,37733,1,settle,0.4814,S,0,8
D,37829,1,settle,0.4814,S,0,8
D,37923,1,settle,0.4814,S,0,8
D,38019,1,settle,0.4814,S,0,8
D,38115,1,settle,0.4814,S,0,8
D,38211,1,settle,0.4814,S,0,8
D,38307,1,settle,0.4814,S,0,8
D,38403,1,settle,0.4814,S,0,8
D,38498,1,settle,0.4814,S,0,8
D,38594,1,settle,0.4814,S,0,8
D,38690,1,settle,0.4814,S,0,8
D,38786,1,settle,0.4814,S,0,8
D,38880,1,settle,0.4814,S,0,8
D,38976,1,settle,0.4814,S,0,8
P,39073,1,40.0,1,settled,0.4814
D,39167,1,settle,0.4814,S,0,8
D,39268,1,settle,0.4814,S,0,8
D,39359,1,settle,0.4814,S,0,8
D,39455,1,settle,0.4814,S,0,8
D,39551,1,settle,0.4814,S,0,8
D,39647,1,settle,0.4814,S,0,8
D,39740,1,settle,0.4814,S,0,8
D,39836,1,settle,0.4814,S,0,8
D,39932,1,settle,0.4814,S,0,8
D,40028,1,settle,0.4814,S,0,8
D,40124,1,settle,0.4814,S,0,8
D,40220,1,settle,0.4814,S,0,8
D,40316,1,settle,0.4814,S,0,8
D,40411,1,settle,0.4814,S,0,8
D,40507,1,settle,0.4814,S,0,8
D,40601,1,settle,0.4814,S,0,8
D,40697,1,settle,0.4814,S,0,8
D,40793,1,settle,0.4814,S,0,8
D,40889,1,settle,0.4814,S,0,8
D,40985,1,settle,0.4814,S,0,8
D,41081,1,settle,0.4814,S,0,8
D,41176,1,settle,0.4814,S,0,8
D,41272,1,settle,0.4814,S,0,8
D,41368,1,settle,0.4814,S,0,8
D,41464,1,settle,0.4814,S,0,8
D,41558,1,settle,0.4814,S,0,8
D,41653,1,settle,0.4814,S,0,8
D,41749,1,settle,0.4814,S,0,8
D,41845,1,settle,0.4814,S,0,8
D,41941,1,settle,0.4814,S,0,8
D,42037,1,settle,0.4814,S,0,8
P,42134,1,40.0,1,settled2,0.4814
R,1,C6,40.0,1,55,0.30,rot,0.3041,2.53,0.4814,0.4814,0.4814,0.4814,8,ok
E,42141,=== trial 2 : C6 tilt 40.0 rep 1 rpm 55 halt 0.60 mode rot (cum 0.48 g) ===
P,43954,2,40.0,1,tare0,0.0000
D,44046,2,preroll,0.0000,S,0,8
D,44141,2,preroll,0.0000,S,0,8
D,44235,2,preroll,0.0000,S,0,8
D,44331,2,preroll,0.0000,S,0,8
D,44427,2,preroll,0.0000,S,0,8
D,44523,2,preroll,0.0000,S,0,8
D,44619,2,preroll,0.0000,S,0,8
D,44715,2,preroll,0.0000,S,0,8
D,44810,2,preroll,0.0000,S,0,8
D,44906,2,preroll,0.0000,S,0,8
D,45002,2,preroll,0.0000,S,0,8
D,45096,2,preroll,0.0000,S,0,8
D,45192,2,preroll,0.0000,S,0,8
D,45288,2,preroll,0.0000,S,0,8
D,45383,2,preroll,0.0000,S,0,8
D,45479,2,preroll,0.0000,S,0,8
E,45543,dispense start: mode rot rpm 55
D,45575,2,dispense,0.0000,S,55,8
D,45671,2,dispense,0.0000,S,55,8
D,45767,2,dispense,0.0000,S,55,8
D,45863,2,dispense,0.0000,S,55,9
D,45959,2,dispense,0.0000,S,55,9
D,46052,2,dispense,0.0000,S,55,9
D,46148,2,dispense,0.0000,S,55,10
D,46244,2,dispense,0.0000,S,55,10
D,46340,2,dispense,0.0000,S,55,10
D,46434,2,dispense,0.0103,U,55,11
D,46530,2,dispense,0.0188,U,55,11
D,46626,2,dispense,0.0281,U,55,11
D,46722,2,dispense,0.0365,U,55,12
D,46818,2,dispense,0.0425,U,55,12
D,46912,2,dispense,0.0466,U,55,12
D,47007,2,dispense,0.0503,U,55,13
D,47103,2,dispense,0.0562,U,55,13
D,47199,2,dispense,0.0672,U,55,13
D,47295,2,dispense,0.0852,U,55,14
D,47391,2,dispense,0.1110,U,55,14
D,47487,2,dispense,0.1429,U,55,14
D,47583,2,dispense,0.1772,U,55,15
D,47678,2,dispense,0.2084,U,55,15
D,47772,2,dispense,0.2315,U,55,15
D,47868,2,dispense,0.2443,U,55,16
D,47964,2,dispense,0.2490,U,55,16
D,48060,2,dispense,0.2507,U,55,16
D,48156,2,dispense,0.2548,U,55,17
D,48251,2,dispense,0.2646,U,55,17
D,48347,2,dispense,0.2819,U,55,17
D,48443,2,dispense,0.3069,U,55,18
D,48539,2,dispense,0.3387,U,55,18
D,48635,2,dispense,0.3747,U,55,18
D,48729,2,dispense,0.4094,U,55,19
D,48825,2,dispense,0.4368,U,55,19
D,48920,2,dispense,0.4532,U,55,19
D,49016,2,dispense,0.4593,U,55,20
D,49112,2,dispense,0.4604,U,55,20
D,49208,2,dispense,0.4622,U,55,20
D,49304,2,dispense,0.4685,U,55,21
D,49400,2,dispense,0.4807,U,55,21
D,49495,2,dispense,0.4985,U,55,21
D,49589,2,dispense,0.5225,U,55,22
D,49685,2,dispense,0.5527,U,55,22
D,49781,2,dispense,0.5866,U,55,22
D,49877,2,dispense,0.6182,U,55,23
E,49881,TRIGGER 0.6182 g at t=4.30 s -- ALL STOP
D,49974,2,settle,0.6406,U,0,23
D,50069,2,settle,0.6514,U,0,23
D,50164,2,settle,0.6535,U,0,23
D,50260,2,settle,0.6531,U,0,23
D,50356,2,settle,0.6557,U,0,23
D,50450,2,settle,0.6643,U,0,23
D,50546,2,settle,0.6795,U,0,23
D,50642,2,settle,0.7005,U,0,23
D,50737,2,settle,0.7256,U,0,23
D,50833,2,settle,0.7518,U,0,23
D,50929,2,settle,0.7762,U,0,23
D,51025,2,settle,0.7963,U,0,23
D,51126,2,settle,0.8105,U,0,23
D,51217,2,settle,0.8183,U,0,23
D,51312,2,settle,0.8204,U,0,23
D,51407,2,settle,0.8192,U,0,23
D,51502,2,settle,0.8172,U,0,23
D,51598,2,settle,0.8158,U,0,23
D,51694,2,settle,0.8151,U,0,23
D,51790,2,settle,0.8149,U,0,23
D,51886,2,settle,0.8149,U,0,23
D,51981,2,settle,0.8150,U,0,23
D,52077,2,settle,0.8150,U,0,23
D,52173,2,settle,0.8151,U,0,23
D,52267,2,settle,0.8151,U,0,23
D,52363,2,settle,0.8152,U,0,23
D,52459,2,settle,0.8152,U,0,23
D,52555,2,settle,0.8152,U,0,23
D,52651,2,settle,0.8153,U,0,23
D,52746,2,settle,0.8153,U,0,23
D,52842,2,settle,0.8154,U,0,23
D,52938,2,settle,0.8154,U,0,23
D,53034,2,settle,0.8154,U,0,23
D,53130,2,settle,0.8153,S,0,23
D,53224,2,settle,0.8153,S,0,23
D,53320,2,settle,0.8153,S,0,23
D,53415,2,settle,0.8153,S,0,23
D,53511,2,settle,0.8153,S,0,23
D,53607,2,settle,0.8153,S,0,23
D,53703,2,settle,0.8153,S,0,23
D,53799,2,settle,0.8153,S,0,23
D,53895,2,settle,0.8152,S,0,23
D,53991,2,settle,0.8153,S,0,23
D,54085,2,settle,0.8153,S,0,23
D,54180,2,settle,0.8153,S,0,23
D,54276,2,settle,0.8153,S,0,23
D,54372,2,settle,0.8152,S,0,23
D,54468,2,settle,0.8152,S,0,23
D,54564,2,settle,0.8152,S,0,23
D,54660,2,settle,0.8152,S,0,23
D,54756,2,settle,0.8152,S,0,23
D,54851,2,settle,0.8152,S,0,23
D,54945,2,settle,0.8152,S,0,23
D,55041,2,settle,0.8152,S,0,23
D,55137,2,settle,0.8152,S,0,23
D,55233,2,settle,0.8152,S,0,23
D,55329,2,settle,0.8152,S,0,23
D,55425,2,settle,0.8152,S,0,23
D,55520,2,settle,0.8152,S,0,23
D,55616,2,settle,0.8152,S,0,23
D,55712,2,settle,0.8152,S,0,23
D,55808,2,settle,0.8152,S,0,23
D,55902,2,settle,0.8152,S,0,23
D,55998,2,settle,0.8152,S,0,23
D,56094,2,settle,0.8152,S,0,23
D,56190,2,settle,0.8152,S,0,23
D,56285,2,settle,0.8152,S,0,23
D,56381,2,settle,0.8152,S,0,23
D,56477,2,settle,0.8152,S,0,23
D,56573,2,settle,0.8152,S,0,23
D,56669,2,settle,0.8152,S,0,23
D,56763,2,settle,0.8152,S,0,23
D,56859,2,settle,0.8152,S,0,23
D,56955,2,settle,0.8152,S,0,23
D,57050,2,settle,0.8152,S,0,23
D,57146,2,settle,0.8152,S,0,23
D,57242,2,settle,0.8152,S,0,23
D,57338,2,settle,0.8152,S,0,23
D,57434,2,settle,0.8152,S,0,23
D,57530,2,settle,0.8152,S,0,23
D,57624,2,settle,0.8152,S,0,23
D,57719,2,settle,0.8152,S,0,23
D,57815,2,settle,0.8152,S,0,23
D,57911,2,settle,0.8152,S,0,23
P,58008,2,40.0,1,settled,0.8152
D,58103,2,settle,0.8152,S,0,23
D,58199,2,settle,0.8152,S,0,23
D,58295,2,settle,0.8152,S,0,23
D,58390,2,settle,0.8152,S,0,23
D,58486,2,settle,0.8152,S,0,23
D,58580,2,settle,0.8152,S,0,23
D,58676,2,settle,0.8152,S,0,23
D,58772,2,settle,0.8152,S,0,23
D,58868,2,settle,0.8152,S,0,23
D,58964,2,settle,0.8152,S,0,23
D,59059,2,settle,0.8152,S,0,23
D,59155,2,settle,0.8152,S,0,23
D,59251,2,settle,0.8152,S,0,23
D,59347,2,settle,0.8152,S,0,23
D,59441,2,settle,0.8152,S,0,23
D,59537,2,settle,0.8152,S,0,23
D,59633,2,settle,0.8152,S,0,23
D,59728,2,settle,0.8152,S,0,23
D,59824,2,settle,0.8152,S,0,23
D,59920,2,settle,0.8152,S,0,23
D,60016,2,settle,0.8152,S,0,23
D,60112,2,settle,0.8152,S,0,23
D,60208,2,settle,0.8152,S,0,23
D,60303,2,settle,0.8152,S,0,23
D,60397,2,settle,0.8151,S,0,23
D,60493,2,settle,0.8151,S,0,23
