M,experiment,afterflow-battery-C6-C8-B4-B5
M,powder_id,salt
M,cap_g,33.0
M,hard_g,35.0
M,standing_load_g_pretare,63.5
M,scale_max_g,102.0
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,cont_s,6.0
M,prime_revs,3.0
M,taponly_n,15
M,settle_stream_s,8.0
M,auger_tare_g,56.716
M,total_loaded_g_original,127.98
M,dispensed_prior_attempt_g,10.16
M,total_onboard_est_g,117.82
M,salt_remaining_est_g,61.1
M,restart,attempt-2-after-operator-reset
M,planned_trials,58
E,1233,noise baseline: tare, 20 s static raw stream
P,3217,0,0.0,0,tare0,0.0004
D,49789,1,settle,0.8747,U,0,0
D,49883,1,settle,0.8743,U,0,0
D,49978,1,settle,0.8737,U,0,0
D,50086,1,settle,0.8733,U,0,0
D,50266,1,settle,0.8705,U,0,0
D,50362,1,settle,0.8706,U,0,0
D,50458,1,settle,0.8711,U,0,0
D,50554,1,settle,0.8714,U,0,0
D,50650,1,settle,0.8715,U,0,0
D,50743,1,settle,0.8714,U,0,0
D,50839,1,settle,0.8713,U,0,0
D,50935,1,settle,0.8711,U,0,0
D,51031,1,settle,0.8710,U,0,0
D,51127,1,settle,0.8708,U,0,0
D,51222,1,settle,0.8708,U,0,0
D,51318,1,settle,0.8708,U,0,0
D,51414,1,settle,0.8708,U,0,0
D,51510,1,settle,0.8708,U,0,0
D,51606,1,settle,0.8708,S,0,0
D,51700,1,settle,0.8708,S,0,0
D,51796,1,settle,0.8708,S,0,0
D,51892,1,settle,0.8708,S,0,0
D,51987,1,settle,0.8708,S,0,0
D,52083,1,settle,0.8707,S,0,0
D,52179,1,settle,0.8707,S,0,0
D,52275,1,settle,0.8707,S,0,0
D,52371,1,settle,0.8706,U,0,0
D,52467,1,settle,0.8706,U,0,0
D,52561,1,settle,0.8705,U,0,0
D,52656,1,settle,0.8706,S,0,0
D,52753,1,settle,0.8706,S,0,0
D,52848,1,settle,0.8707,U,0,0
D,52944,1,settle,0.8708,U,0,0
D,53040,1,settle,0.8708,U,0,0
D,53136,1,settle,0.8709,U,0,0
D,53232,1,settle,0.8709,U,0,0
D,53328,1,settle,0.8709,U,0,0
D,53423,1,settle,0.8709,S,0,0
D,53517,1,settle,0.8710,U,0,0
D,53613,1,settle,0.8713,U,0,0
D,53709,1,settle,0.8714,U,0,0
D,53805,1,settle,0.8716,U,0,0
D,53901,1,settle,0.8717,U,0,0
D,53996,1,settle,0.8720,U,0,0
D,54092,1,settle,0.8722,U,0,0
D,54188,1,settle,0.8724,U,0,0
D,54284,1,settle,0.8726,U,0,0
D,54378,1,settle,0.8728,U,0,0
D,54474,1,settle,0.8731,U,0,0
D,54570,1,settle,0.8733,U,0,0
D,54665,1,settle,0.8735,U,0,0
D,54761,1,settle,0.8738,U,0,0
D,54857,1,settle,0.8739,U,0,0
D,54953,1,settle,0.8741,U,0,0
D,55049,1,settle,0.8742,U,0,0
D,55144,1,settle,0.8744,U,0,0
D,55238,1,settle,0.8746,U,0,0
D,55334,1,settle,0.8748,U,0,0
D,55430,1,settle,0.8750,U,0,0
D,55526,1,settle,0.8751,U,0,0
D,55622,1,settle,0.8752,U,0,0
D,55717,1,settle,0.8753,U,0,0
D,55813,1,settle,0.8754,U,0,0
D,55909,1,settle,0.8754,U,0,0
D,56005,1,settle,0.8754,U,0,0
D,56101,1,settle,0.8754,U,0,0
P,56196,1,55.0,1,settled,0.8754
D,56291,1,settle,0.8754,S,0,0
D,56386,1,settle,0.8753,S,0,0
