M,experiment,rapid-dispense-stop-response
M,powder_id,salt
M,trigger_g,0.5
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,angles_plate_deg,25.0|40.0|50.0|60.0|70.0
M,reps,2
M,noise_baseline_s,60.0
M,settle_stream_s,15.0
E,1223,noise baseline: tare, then 60 s static raw stream
D,26529,0,noise,-0.0009,S,0,0
D,26625,0,noise,-0.0009,S,0,0
D,26721,0,noise,-0.0009,S,0,0
D,26817,0,noise,-0.0009,S,0,0
D,26913,0,noise,-0.0009,S,0,0
D,27009,0,noise,-0.0009,S,0,0
D,27104,0,noise,-0.0009,S,0,0
D,27200,0,noise,-0.0009,S,0,0
D,27296,0,noise,-0.0009,S,0,0
D,27390,0,noise,-0.0010,S,0,0
D,27486,0,noise,-0.0010,S,0,0
D,27582,0,noise,-0.0010,S,0,0
D,27677,0,noise,-0.0010,S,0,0
D,27773,0,noise,-0.0010,S,0,0
D,27869,0,noise,-0.0010,S,0,0
D,27965,0,noise,-0.0010,S,0,0
D,28061,0,noise,-0.0010,S,0,0
D,28157,0,noise,-0.0010,S,0,0
D,28251,0,noise,-0.0010,S,0,0
D,28346,0,noise,-0.0010,S,0,0
D,28442,0,noise,-0.0010,S,0,0
D,28538,0,noise,-0.0010,S,0,0
D,28634,0,noise,-0.0010,S,0,0
D,28730,0,noise,-0.0010,S,0,0
D,28826,0,noise,-0.0010,S,0,0
D,28921,0,noise,-0.0010,S,0,0
D,29017,0,noise,-0.0010,S,0,0
D,29111,0,noise,-0.0011,S,0,0
D,29207,0,noise,-0.0011,S,0,0
D,29303,0,noise,-0.0011,S,0,0
D,29399,0,noise,-0.0011,S,0,0
D,29494,0,noise,-0.0011,S,0,0
D,29590,0,noise,-0.0011,S,0,0
D,29686,0,noise,-0.0011,S,0,0
D,29782,0,noise,-0.0011,S,0,0
D,29878,0,noise,-0.0011,S,0,0
D,29972,0,noise,-0.0011,S,0,0
D,30068,0,noise,-0.0011,S,0,0
D,30163,0,noise,-0.0011,S,0,0
D,30259,0,noise,-0.0011,S,0,0
D,30355,0,noise,-0.0011,S,0,0
D,30451,0,noise,-0.0011,S,0,0
D,30547,0,noise,-0.0011,S,0,0
D,30643,0,noise,-0.0011,S,0,0
D,30738,0,noise,-0.0011,S,0,0
D,30834,0,noise,-0.0011,S,0,0
D,30928,0,noise,-0.0011,S,0,0
D,31024,0,noise,-0.0011,S,0,0
D,31120,0,noise,-0.0011,S,0,0
D,31216,0,noise,-0.0011,S,0,0
D,31312,0,noise,-0.0011,S,0,0
D,31407,0,noise,-0.0011,S,0,0
D,31503,0,noise,-0.0012,S,0,0
D,31599,0,noise,-0.0012,S,0,0
D,31695,0,noise,-0.0012,S,0,0
D,31789,0,noise,-0.0012,S,0,0
D,31885,0,noise,-0.0012,S,0,0
D,31981,0,noise,-0.0012,S,0,0
D,32076,0,noise,-0.0012,S,0,0
D,32172,0,noise,-0.0012,S,0,0
D,32268,0,noise,-0.0012,S,0,0
D,32364,0,noise,-0.0012,S,0,0
D,32460,0,noise,-0.0012,S,0,0
D,32556,0,noise,-0.0012,S,0,0
D,32650,0,noise,-0.0012,S,0,0
D,32745,0,noise,-0.0012,S,0,0
D,32841,0,noise,-0.0012,S,0,0
D,32937,0,noise,-0.0012,S,0,0
D,33033,0,noise,-0.0012,S,0,0
D,33129,0,noise,-0.0012,S,0,0
D,33225,0,noise,-0.0012,S,0,0
D,33321,0,noise,-0.0012,S,0,0
D,33416,0,noise,-0.0013,S,0,0
D,33512,0,noise,-0.0013,S,0,0
D,33606,0,noise,-0.0013,S,0,0
D,33702,0,noise,-0.0013,S,0,0
D,33798,0,noise,-0.0013,S,0,0
D,33893,0,noise,-0.0013,S,0,0
D,33989,0,noise,-0.0013,S,0,0
D,34085,0,noise,-0.0013,S,0,0
D,34181,0,noise,-0.0013,S,0,0
D,34277,0,noise,-0.0013,S,0,0
D,34373,0,noise,-0.0013,S,0,0
D,34466,0,noise,-0.0013,S,0,0
D,34562,0,noise,-0.0013,S,0,0
D,34658,0,noise,-0.0013,S,0,0
D,34754,0,noise,-0.0013,S,0,0
D,34850,0,noise,-0.0013,S,0,0
D,34946,0,noise,-0.0013,S,0,0
D,35042,0,noise,-0.0014,S,0,0
D,35137,0,noise,-0.0014,S,0,0
D,35233,0,noise,-0.0014,S,0,0
D,35327,0,noise,-0.0014,S,0,0
D,35423,0,noise,-0.0014,S,0,0
D,35519,0,noise,-0.0014,S,0,0
D,35615,0,noise,-0.0014,S,0,0
D,35711,0,noise,-0.0014,S,0,0
D,35806,0,noise,-0.0014,S,0,0
D,35902,0,noise,-0.0014,S,0,0
D,35998,0,noise,-0.0014,S,0,0
D,36094,0,noise,-0.0014,S,0,0
D,36190,0,noise,-0.0014,S,0,0
D,36284,0,noise,-0.0014,S,0,0
D,36380,0,noise,-0.0014,S,0,0
D,36475,0,noise,-0.0014,S,0,0
D,36571,0,noise,-0.0014,S,0,0
D,36667,0,noise,-0.0014,S,0,0
D,36763,0,noise,-0.0014,S,0,0
D,36859,0,noise,-0.0015,S,0,0
D,36954,0,noise,-0.0015,S,0,0
D,37050,0,noise,-0.0015,S,0,0
D,37144,0,noise,-0.0015,S,0,0
D,37240,0,noise,-0.0015,S,0,0
D,37336,0,noise,-0.0015,S,0,0
D,37432,0,noise,-0.0015,S,0,0
D,37528,0,noise,-0.0015,S,0,0
D,37623,0,noise,-0.0015,S,0,0
D,37719,0,noise,-0.0015,S,0,0
D,37815,0,noise,-0.0015,S,0,0
D,37911,0,noise,-0.0015,S,0,0
D,38005,0,noise,-0.0015,S,0,0
D,38101,0,noise,-0.0015,S,0,0
D,38197,0,noise,-0.0015,S,0,0
D,38292,0,noise,-0.0015,S,0,0
D,38388,0,noise,-0.0015,S,0,0
D,38484,0,noise,-0.0015,S,0,0
D,38580,0,noise,-0.0015,S,0,0
D,38676,0,noise,-0.0015,S,0,0
D,38772,0,noise,-0.0016,S,0,0
D,38865,0,noise,-0.0016,S,0,0
D,38961,0,noise,-0.0016,S,0,0
D,39057,0,noise,-0.0016,S,0,0
D,39153,0,noise,-0.0016,S,0,0
D,39249,0,noise,-0.0016,S,0,0
D,39345,0,noise,-0.0016,S,0,0
D,39441,0,noise,-0.0016,S,0,0
D,39536,0,noise,-0.0016,S,0,0
D,39632,0,noise,-0.0016,S,0,0
D,39728,0,noise,-0.0016,S,0,0
D,39822,0,noise,-0.0016,S,0,0
D,39922,0,noise,-0.0016,S,0,0
D,40014,0,noise,-0.0016,S,0,0
D,40109,0,noise,-0.0016,S,0,0
D,40205,0,noise,-0.0016,S,0,0
D,40301,0,noise,-0.0016,S,0,0
D,40397,0,noise,-0.0016,S,0,0
D,40493,0,noise,-0.0016,S,0,0
D,40589,0,noise,-0.0016,S,0,0
D,40682,0,noise,-0.0016,S,0,0
D,40778,0,noise,-0.0016,S,0,0
D,40874,0,noise,-0.0016,S,0,0
D,40970,0,noise,-0.0016,S,0,0
D,41066,0,noise,-0.0016,S,0,0
D,41162,0,noise,-0.0016,S,0,0
D,41258,0,noise,-0.0016,S,0,0
D,41353,0,noise,-0.0016,S,0,0
D,41449,0,noise,-0.0016,S,0,0
D,41543,0,noise,-0.0017,S,0,0
D,41639,0,noise,-0.0017,S,0,0
D,41735,0,noise,-0.0017,S,0,0
D,41831,0,noise,-0.0017,S,0,0
D,41926,0,noise,-0.0017,S,0,0
D,42022,0,noise,-0.0017,S,0,0
D,42118,0,noise,-0.0017,S,0,0
D,42214,0,noise,-0.0017,S,0,0
D,42310,0,noise,-0.0017,S,0,0
D,42406,0,noise,-0.0017,S,0,0
D,42500,0,noise,-0.0017,S,0,0
D,42595,0,noise,-0.0017,S,0,0
D,42691,0,noise,-0.0017,S,0,0
D,42787,0,noise,-0.0017,S,0,0
D,42883,0,noise,-0.0017,S,0,0
D,42979,0,noise,-0.0017,S,0,0
D,43075,0,noise,-0.0017,S,0,0
D,43170,0,noise,-0.0017,S,0,0
D,43266,0,noise,-0.0017,S,0,0
D,43360,0,noise,-0.0017,S,0,0
D,43456,0,noise,-0.0017,S,0,0
D,43552,0,noise,-0.0017,S,0,0
D,43648,0,noise,-0.0017,S,0,0
D,43744,0,noise,-0.0017,S,0,0
D,43839,0,noise,-0.0017,S,0,0
D,43935,0,noise,-0.0017,S,0,0
D,44031,0,noise,-0.0017,S,0,0
D,44127,0,noise,-0.0018,S,0,0
D,44221,0,noise,-0.0018,S,0,0
D,44317,0,noise,-0.0018,S,0,0
D,44412,0,noise,-0.0018,S,0,0
D,44508,0,noise,-0.0018,S,0,0
D,44604,0,noise,-0.0018,S,0,0
D,44700,0,noise,-0.0018,S,0,0
D,44796,0,noise,-0.0018,S,0,0
D,44892,0,noise,-0.0018,S,0,0
D,44987,0,noise,-0.0018,S,0,0
D,45083,0,noise,-0.0018,S,0,0
D,45177,0,noise,-0.0018,S,0,0
D,45273,0,noise,-0.0018,S,0,0
D,45369,0,noise,-0.0018,S,0,0
D,45465,0,noise,-0.0018,S,0,0
D,45561,0,noise,-0.0018,S,0,0
D,45656,0,noise,-0.0018,S,0,0
D,45752,0,noise,-0.0018,S,0,0
D,45848,0,noise,-0.0018,S,0,0
D,45944,0,noise,-0.0018,S,0,0
D,46038,0,noise,-0.0018,S,0,0
D,46134,0,noise,-0.0018,S,0,0
D,46229,0,noise,-0.0018,S,0,0
D,46326,0,noise,-0.0019,S,0,0
D,46421,0,noise,-0.0019,S,0,0
D,46517,0,noise,-0.0019,S,0,0
D,46613,0,noise,-0.0019,S,0,0
D,46709,0,noise,-0.0019,S,0,0
D,46805,0,noise,-0.0019,S,0,0
D,46898,0,noise,-0.0019,S,0,0
D,46994,0,noise,-0.0019,S,0,0
D,47090,0,noise,-0.0019,S,0,0
D,47186,0,noise,-0.0019,S,0,0
D,47282,0,noise,-0.0019,S,0,0
D,47378,0,noise,-0.0019,S,0,0
D,47473,0,noise,-0.0019,S,0,0
D,47569,0,noise,-0.0019,S,0,0
D,47665,0,noise,-0.0019,S,0,0
D,47761,0,noise,-0.0019,S,0,0
D,47855,0,noise,-0.0019,S,0,0
D,47951,0,noise,-0.0019,S,0,0
D,48046,0,noise,-0.0019,S,0,0
D,48142,0,noise,-0.0019,S,0,0
D,48238,0,noise,-0.0019,S,0,0
D,48334,0,noise,-0.0019,S,0,0
D,48430,0,noise,-0.0020,S,0,0
D,48526,0,noise,-0.0020,S,0,0
D,48622,0,noise,-0.0020,S,0,0
D,48715,0,noise,-0.0020,S,0,0
D,48811,0,noise,-0.0020,S,0,0
D,48907,0,noise,-0.0020,S,0,0
D,49003,0,noise,-0.0020,S,0,0
D,49099,0,noise,-0.0020,S,0,0
D,49195,0,noise,-0.0020,S,0,0
D,49290,0,noise,-0.0020,S,0,0
D,49387,0,noise,-0.0020,S,0,0
D,49482,0,noise,-0.0020,S,0,0
D,49576,0,noise,-0.0020,S,0,0
D,49672,0,noise,-0.0020,S,0,0
D,49768,0,noise,-0.0020,S,0,0
D,49864,0,noise,-0.0020,S,0,0
D,49959,0,noise,-0.0020,S,0,0
D,50055,0,noise,-0.0020,S,0,0
D,50151,0,noise,-0.0020,S,0,0
D,50247,0,noise,-0.0020,S,0,0
D,50343,0,noise,-0.0021,S,0,0
D,50437,0,noise,-0.0021,S,0,0
D,50533,0,noise,-0.0021,S,0,0
D,50628,0,noise,-0.0021,S,0,0
D,50724,0,noise,-0.0021,S,0,0
D,50820,0,noise,-0.0021,S,0,0
D,50916,0,noise,-0.0021,S,0,0
D,51012,0,noise,-0.0021,S,0,0
D,51108,0,noise,-0.0021,S,0,0
D,51203,0,noise,-0.0021,S,0,0
D,51299,0,noise,-0.0021,S,0,0
D,51393,0,noise,-0.0021,S,0,0
D,51489,0,noise,-0.0021,S,0,0
D,51585,0,noise,-0.0021,S,0,0
D,51681,0,noise,-0.0021,S,0,0
D,51777,0,noise,-0.0021,S,0,0
D,51873,0,noise,-0.0021,S,0,0
D,51968,0,noise,-0.0021,S,0,0
D,52064,0,noise,-0.0021,S,0,0
D,52160,0,noise,-0.0021,S,0,0
D,52254,0,noise,-0.0021,S,0,0
D,52350,0,noise,-0.0022,S,0,0
D,52446,0,noise,-0.0022,S,0,0
D,52541,0,noise,-0.0022,S,0,0
D,52637,0,noise,-0.0022,S,0,0
D,52733,0,noise,-0.0022,S,0,0
D,52829,0,noise,-0.0022,S,0,0
D,52925,0,noise,-0.0022,S,0,0
D,53021,0,noise,-0.0022,S,0,0
D,53114,0,noise,-0.0022,S,0,0
D,53210,0,noise,-0.0022,S,0,0
D,53306,0,noise,-0.0022,S,0,0
D,53402,0,noise,-0.0022,S,0,0
D,53498,0,noise,-0.0022,S,0,0
D,53598,0,noise,-0.0022,S,0,0
D,53690,0,noise,-0.0022,S,0,0
D,53785,0,noise,-0.0022,S,0,0
D,53881,0,noise,-0.0022,S,0,0
D,53977,0,noise,-0.0022,S,0,0
D,54071,0,noise,-0.0022,S,0,0
D,54167,0,noise,-0.0022,S,0,0
D,54262,0,noise,-0.0022,S,0,0
D,54358,0,noise,-0.0022,S,0,0
D,54454,0,noise,-0.0022,S,0,0
D,54550,0,noise,-0.0022,S,0,0
D,54646,0,noise,-0.0022,S,0,0
D,54742,0,noise,-0.0022,S,0,0
D,54838,0,noise,-0.0022,S,0,0
D,54932,0,noise,-0.0022,S,0,0
D,55027,0,noise,-0.0022,S,0,0
D,55123,0,noise,-0.0022,S,0,0
D,55219,0,noise,-0.0022,S,0,0
D,55315,0,noise,-0.0022,S,0,0
D,55411,0,noise,-0.0022,S,0,0
D,55507,0,noise,-0.0023,S,0,0
D,55602,0,noise,-0.0023,S,0,0
D,55698,0,noise,-0.0023,S,0,0
D,55792,0,noise,-0.0023,S,0,0
D,55888,0,noise,-0.0023,S,0,0
D,55984,0,noise,-0.0023,S,0,0
D,56080,0,noise,-0.0023,S,0,0
D,56176,0,noise,-0.0023,S,0,0
D,56271,0,noise,-0.0023,S,0,0
D,56367,0,noise,-0.0023,S,0,0
