powder_id,run,t_ms,mass_g,frame,tilt_deg,auger_rpm_cmd,taps_cum,phase
salt,run1,21206,0.8860,U,25.0,24.17,0,dose
salt,run1,21300,0.8910,U,25.0,23.41,0,dose
salt,run1,21395,0.8962,U,25.0,22.42,0,dose
salt,run1,21491,0.9007,U,25.0,21.27,0,dose
salt,run1,21587,0.9045,U,25.0,20.11,0,dose
salt,run1,21683,0.9084,U,25.0,19.00,0,dose
salt,run1,21779,0.9128,U,25.0,17.93,0,dose
salt,run1,21874,0.9178,U,25.0,16.81,0,dose
salt,run1,21970,0.9225,U,25.0,15.62,0,dose
salt,run1,22066,0.9266,U,25.0,14.40,0,dose
salt,run1,22160,0.9298,U,25.0,13.24,0,dose
salt,run1,22256,0.9325,U,25.0,12.19,0,dose
salt,run1,22352,0.9349,U,25.0,11.29,0,dose
salt,run1,22448,0.9372,U,25.0,10.49,0,dose
salt,run1,22543,0.9394,U,25.0,9.78,0,dose
salt,run1,22639,0.9410,U,25.0,9.12,0,dose
salt,run1,22735,0.9417,U,25.0,8.88,0,dose
salt,run1,22831,0.9417,U,25.0,8.90,0,dose
salt,run1,22936,0.9414,U,25.0,9.15,0,dose
salt,run1,23030,0.9411,U,25.0,9.57,0,dose
salt,run1,23124,0.9411,U,25.0,10.00,0,dose
salt,run1,23218,0.9410,U,25.0,10.43,0,dose
salt,run1,23312,0.9410,U,25.0,10.90,0,dose
salt,run1,23406,0.9410,U,25.0,11.41,0,dose
salt,run1,23500,0.9410,S,25.0,11.94,0,dose
salt,run1,23596,0.9410,S,25.0,12.44,0,dose
salt,run1,23692,0.9409,S,25.0,12.89,0,dose
salt,run1,23788,0.9409,S,25.0,13.29,0,dose
salt,run1,23884,0.9409,S,25.0,13.65,0,dose
salt,run1,23978,0.9409,S,25.0,13.96,0,dose
salt,run1,24073,0.9409,S,25.0,14.25,0,dose
salt,run1,24169,0.9409,S,25.0,14.50,0,dose
salt,run1,24265,0.9409,S,25.0,14.68,0,dose
salt,run1,24361,0.9409,S,25.0,14.79,0,dose
salt,run1,24457,0.9409,S,25.0,14.85,0,dose
salt,run1,24552,0.9409,S,25.0,14.86,0,dose
salt,run1,24648,0.9409,S,25.0,14.87,0,dose
salt,run1,24744,0.9409,S,25.0,14.87,0,dose
salt,run1,24838,0.9409,S,25.0,14.88,0,dose
salt,run1,24934,0.9409,S,25.0,14.88,0,dose
salt,run1,25030,0.9409,S,25.0,14.88,0,dose
salt,run1,25126,0.9409,S,25.0,14.88,0,dose
salt,run1,25222,0.9409,S,25.0,14.87,0,dose
salt,run1,25317,0.9409,S,25.0,14.87,0,dose
salt,run1,25413,0.9409,S,25.0,14.87,0,dose
salt,run1,25509,0.9409,S,25.0,14.87,0,dose
salt,run1,25605,0.9409,S,25.0,14.87,0,dose
salt,run1,25701,0.9409,S,25.0,14.87,0,dose
salt,run1,25795,0.9409,S,25.0,14.87,0,dose
salt,run1,25891,0.9409,S,25.0,14.87,0,dose
salt,run1,25986,0.9409,S,25.0,14.87,0,dose
salt,run1,26083,0.9409,S,25.0,14.87,0,dose
salt,run1,26178,0.9409,S,25.0,14.87,0,dose
salt,run1,26274,0.9409,S,25.0,14.86,0,dose
salt,run1,26370,0.9409,S,25.0,14.86,0,dose
salt,run1,26466,0.9409,S,25.0,14.86,0,dose
salt,run1,26562,0.9409,S,25.0,14.86,0,dose
salt,run1,26656,0.9409,S,25.0,14.86,0,dose
salt,run1,26751,0.9409,S,25.0,14.86,0,dose
salt,run1,26847,0.9409,S,25.0,14.86,0,dose
salt,run1,26943,0.9409,S,25.0,14.86,0,dose
salt,run1,27039,0.9409,S,25.0,14.86,0,dose
salt,run1,27135,0.9409,S,25.0,14.86,0,dose
